,Unnamed: 0,VISIT_AREA_NM,RAD_NM_ADDR,VISIT_AREA_TYPE_CD,TRAVEL_ID,SID_NM,SGG_NM,DNG_NM,포함여부 ,Unnamed: 9,HASHTAGS
0,0,더현대서울,서울 영등포구 여의대로 108,4,a_a000491,서울특별시,영등포구,여의도동,,,#현대적인공간 #세련된분위기 #쇼핑천국 #미식의즐거움 #문화예술체험 #다채로운경험 #트렌디한라이프 #디자인의미학 #여유로운시간 #창의적인공간 #감각적인체험 #도심속오아시스 #일상탈출 #감성가득 #새로운발견
1,1,세종문화회관,서울 종로구 세종대로 175,3,a_a000491,서울특별시,영등포구,여의도동,,,#문화의향연 #예술의향기 #창의력폭발 #감동의물결 #열정의무대 #영감충만 #고급스러운시간 #감성깊은 #예술사랑 #풍부한감동 #문화충전 #예술의전당 #예술혼 #공연의매력 #마음의풍요
2,3,코엑스 아쿠아리움,서울 강남구 영동대로 513,6,a_a000172,서울특별시,마포구,망원동,,,#경이로운세계 #마법같은순간 #신비로운경험 #눈부신아름다움 #바다속여행 #생동감넘치는 #자연의경이 #감탄연발 #해양의세계 #색다른모험 #환상적인경험 #생생한체험 #힐링공간 #눈을뗄수없는 #동심으로돌아간듯
3,4,망원시장,서울 마포구 포은로6길 27 1층,4,a_a000172,서울특별시,마포구,망원동,,,#현지의매력 #다양한먹거리 #현지인정서 #전통시장체험 #소박한행복 #따뜻한사람들 #활기찬분위기 #맛집탐방 #지역특산물 #서민의정 #정겨운풍경 #시장탐방 #인심좋은가게 #정겨운분위기 #생활의향기
4,5,롯데월드타워&롯데월드몰,서울 송파구 올림픽로 300,4,a_a000172,서울특별시,마포구,망원동,,,#현대적인매력 #화려한경험 #웅장함속으로 #감탄의연속 #도심속여행 #럭셔리한순간 #시선강탈 #세련된분위기 #독특한경험 #신비로운밤 #미래를향해 #도시의정취 #이국적인느낌 #환상적인뷰 #모험심자극
5,8,해피씨어터,서울 종로구 대학로10길 5,3,a_a000554,서울특별시,종로구,혜화동,,"*영화관이긴 하지만, 대학로 연극관이라는 특이성과 높은 평점으로 추가.",#연극의매력 #몰입감최고 #감동의물결 #꿈같은순간 #문화예술체험 #현실탈출 #창의적인공간 #예술의향연 #공감의시간 #감성자극 #특별한경험 #신선한충격 #감동과웃음 #다양한감정 #마음의여유
6,9,광장시장,서울 종로구 창경궁로 88,4,a_a000554,서울특별시,종로구,혜화동,,,#다채로운음식 #현지의맛 #활기찬분위기 #정겨운소리 #미식탐방 #전통의미학 #풍성한볼거리 #맛있는모험 #따뜻한사람들 #끝없는유혹 #독특한경험 #현지체험 #다양한문화 #정겨운분위기 #전통의맛
7,10,덕수궁,서울 중구 세종대로 99,2,a_a000554,서울특별시,종로구,혜화동,,,#역사의숨결 #평온한시간 #고풍스러운아름다움 #문화의향연 #시간속으로 #고전의매력 #감성여행 #마음의안식처 #전통의미학 #감동의순간 #추억의장소 #힐링의공간 #고요한여정 #매력적인경험 #잔잔한여운
8,11,의정부제일시장,경기 의정부시 태평로73번길 20,4,a_a018121,서울특별시,동대문구,제기동,,,#현지의맛 #다채로운체험 #풍성한볼거리 #문화탐방 #지역특색 #정겨운분위기 #전통시장투어 #소소한행복 #맛집탐방 #사람냄새나는곳 #활기찬분위기 #전통의멋 #시장구경 #지역의매력 #즐거운발견
9,12,의정부역 행복로,경기 의정부시 행복로 1,4,a_a018121,서울특별시,동대문구,제기동,,,#활기찬분위기 #문화의향연 #다채로운체험 #색다른발견 #도시의매력 #현대와전통의조화 #즐거운산책 #도심속여유 #에너지충전 #새로운경험 #매력적인장소 #감성여행 #기분전환 #발견의기쁨 #즐거운하루
10,13,석촌호수 서호,서울특별시 송파구 송파나루길 15,1,a_a003810,서울특별시,영등포구,여의도동,,,#평온한산책 #자연과함께 #호수의매력 #도심속휴식 #맑은공기 #힐링의시간 #풍경감상 #자연의선물 #고요한시간 #마음의안식처 #여유로운순간 #감성충만 #자연속휴식 #심신안정 #일상탈출
11,14,경복궁,서울 종로구 사직로 161,2,a_a000537,서울특별시,종로구,사직동,,,#역사와함께 #평화로운 #고즈넉한 #시간여행 #문화체험 #아름다운기억 #감동적인순간 #마음의쉼터 #고전의멋 #감성충전 #전통의향기 #추억속으로 #힐링타임 #매혹적인경험 #잔잔한감동
12,15,아트스페이스 이색,서울 종로구 율곡로 49-4,3,a_a000537,서울특별시,종로구,사직동,,,#예술의향연 #감각의자극 #깊은여운 #창의력증진 #영감의원천 #마음의울림 #특별한경험 #감성의집 #문화적풍요 #예술적감동 #색다른발견 #독특한감성 #감각적체험 #예술의정수 #다양한영감
13,16,국립현대미술관 서울관 아트샵,서울 종로구 삼청로 30,3,a_a000537,서울특별시,종로구,사직동,,,#예술의향연 #창의력샘솟는 #감성자극 #문화의향기 #영감의순간 #시각적향연 #감동적인작품 #현대미술체험 #마음의충전 #독특한경험 #미적감각 #상상력자극 #문화탐험 #예술적충만 #지적여행
14,17,아모레퍼시픽미술관,서울 용산구 한강대로 100,3,a_a005705,서울특별시,용산구,용산동5가,,,#예술적인영감 #감성깊이 #마음의여유 #독창적인공간 #문화적발견 #사색의시간 #현대미술 #창의적인자극 #미적경험 #내면의성찰 #예술과의대화 #감각의확장 #시각적향연 #예술의흐름 #깊은여운
15,18,트리플스트리트,인천 연수구 송도과학로16번길 33-3,4,a_a001965,경기도,시흥시,정왕동,,,#다채로운경험 #도시속자연 #문화와예술 #미식탐방 #쇼핑천국 #산뜻한하루 #현대적인매력 #눈부신풍경 #참신한발견 #낭만적인산책 #일상탈출 #에너지충전 #활기찬분위기 #소소한행복 #감각적인공간
16,19,송도한옥마을,인천 연수구 테크노파크로 180,7,a_a001965,경기도,시흥시,정왕동,,,#전통의향기 #평화로운시간 #문화융합 #고요한아침 #감성여행 #역사와미래가공존 #고즈넉한분위기 #한옥의멋 #감동적인경험 #자연과어우러진 #고전의아름다움 #추억만들기 #마음의안식처 #매혹적인경관 #힐링의시간
17,22,가평잣고을시장,경기 가평군 가평읍 장터2길 10,4,a_a003557,서울특별시,동작구,노량진동,,,#전통의향기 #현지체험 #향토음식 #소박한매력 #정겨운분위기 #따뜻한환대 #지역특산물 #풍성한볼거리 #소중한기억 #현지인추천 #정감넘치는 #맛있는여행 #문화탐방 #활기찬시장 #색다른경험
18,25,쎈느,서울 성동구 연무장5길 20,4,a_a004696,서울특별시,성동구,성수동1가,,,#예술적인영감 #모던한분위기 #창의력자극 #감각적인공간 #디자인의정수 #트렌디한장소 #독특한경험 #감동적인디테일 #힙한바이브 #세련된느낌 #분위기있는카페 #감성적인시간 #도심속오아시스 #창조적인에너지 #문화적인체험
19,26,LCDC서울,서울 성동구 연무장17길 10,4,a_a004696,서울특별시,성동구,성수동1가,,,#창의적인영감 #현대미술의향연 #독특한경험 #감각적인공간 #예술적감동 #문화의향기 #신선한충격 #감성충전 #도시속오아시스 #예술탐방 #시각적즐거움 #창작의기쁨 #독립예술 #현대예술의전당 #창의력폭발
20,27,난지한강공원,서울특별시 마포구 한강난지로 162,1,a_a009676,서울특별시,은평구,갈현동,,,#자유로운분위기 #탁트인전망 #자연속여유 #생동감넘치는 #활기찬에너지 #도심속오아시스 #여유로운산책 #마음의여유 #상쾌한바람 #행복한순간 #자연과함께 #여유로운시간 #마음의쉼터 #스릴넘치는 #새로운발견
21,28,대조전통시장,서울 은평구 불광로 13,4,a_a009676,서울특별시,은평구,갈현동,,,#정겨운분위기 #다채로운경험 #현지의맛 #따뜻한정 #일상의여유 #생동감넘치는 #정겨운사람들 #알록달록한풍경 #서민의삶 #고향의맛 #삶의향기 #인심좋은시장 #소소한행복 #일상의발견 #잊지못할순간
22,29,서울특별시교육청 정독도서관,서울 종로구 북촌로5길 48,3,a_a009676,서울특별시,은평구,갈현동,,,#지식의향연 #정숙한분위기 #지혜의숲 #마음의양식 #사색의시간 #문학의향기 #학문의전당 #정서적안식 #책과함께 #도서관의여유 #지식탐험 #지적충전 #영감의순간 #조용한행복 #마음의여유
23,30,라온아트홀,서울 종로구 대학로10길 11,3,a_a003178,서울특별시,종로구,동숭동,,,#예술적영감 #창의력자극 #문화향유 #감동적인공연 #독특한경험 #감성의여행 #예술의향기 #기억에남는 #몰입의시간 #감성충만 #문화의심장 #아트홀의매력 #공연의감동 #감성자극 #독특한체험
24,31,명륜당,서울 종로구 성균관로 25-1,1,a_a003178,서울특별시,종로구,동숭동,,,#유서깊은장소 #평온한마음 #전통의미학 #고요한순간 #마음의안식 #고전의아름다움 #문화의향연 #역사의숨결 #마음의여유 #고전의멋 #감성여행 #전통과조화 #시간의흐름 #고즈넉한매력 #역사속산책
25,32,남산공원,서울 중구 남산공원길 125-54,1,a_a014858,서울특별시,강남구,신사동,,,#자연과함께 #도심속오아시스 #맑은공기 #힐링산책 #평온한시간 #조용한여유 #마음의안식처 #풍경감상 #자연속여유 #산림욕 #자연경관 #감성충만 #자연친화적 #맑은느낌 #도심탈출
26,34,봄날아트홀,서울 종로구 동숭길 39,3,a_a000949,서울특별시,영등포구,여의도동,,,#문화예술의향연 #창의력자극 #감동의순간 #예술과하모니 #감성터치 #새로운발견 #영감의원천 #감각의여행 #마음의여유 #창작의기쁨 #예술적감성 #상상력확장 #내면의여행 #예술적충만 #창의적경험
27,35,보신각터,서울 종로구 종로 54,2,a_a000949,서울특별시,영등포구,여의도동,,,#역사의흔적 #경건한느낌 #고요한순간 #전통의중심 #마음의평안 #문화유산 #과거와현재 #조용한감동 #깊은감회 #옛날이야기 #명상의시간 #고풍스러운 #감성여행 #유서깊은 #정적인아름다움
28,36,언더스탠드에비뉴,서울 성동구 왕십리로 63,4,a_a000949,서울특별시,영등포구,여의도동,,,#창의력자극 #도심속여행 #다양한매력 #문화예술공간 #감성스폿 #도시속자연 #현대적감성 #독특한경험 #새로운발견 #편안한휴식 #소소한행복 #감각적인장소 #현실탈출 #여유로운시간 #특별한순간
29,37,빈티지패션팩토리 용인본점,경기 용인시 처인구 모현읍 외개일로135번길 33,4,a_a007960,경기도,수원시 팔달구,인계동,,,#빈티지의매력 #복고풍여행 #독특한경험 #시간여행 #개성넘치는 #멋진발견 #추억소환 #예술적인공간 #감성충전 #독창적인스타일 #기억에남는순간 #레트로감성 #색다른체험 #빈티지탐방 #스타일리시한여행
30,38,일산동구 시내,경기 고양시 일산동구 정발산로 19,4,b_b001670,경기도,여주시,산북면,,,#현대적인 #도시의활기 #세련된 #다채로운경험 #문화의만남 #특색있는거리 #도심속자연 #편안한산책 #다양한맛집 #예술적분위기 #즐거운발견 #일상의탈출 #도시의매력 #활기찬분위기 #감성적인여행
31,39,일산호수공원,경기 고양시 일산동구 호수로 595,1,b_b001670,경기도,여주시,산북면,,,#자연속여유 #맑은공기 #평화로운산책 #힐링스팟 #조용한시간 #아름다운풍경 #마음의안식처 #감성산책 #일상의쉼표 #행복한순간 #잔잔한호수 #나만의시간 #녹음가득 #자연치유 #여유로운한때
32,40,웨스턴돔 A동,경기 고양시 일산동구 정발산로 24,4,b_b001670,경기도,여주시,산북면,,,#현대적감각 #다채로운경험 #도심속안식처 #세련된분위기 #활기찬공간 #문화의향연 #여유로운산책 #감각적인경험 #수준높은맛집 #도시속자연 #감성충족 #모던한매력 #아늑한시간 #도심속힐링 #오감만족
33,41,경의선책거리,서울 마포구 와우산로35길 50-4,4,a_a008269,서울특별시,송파구,신천동,,,#문학의향기 #책속여행 #정신의양식 #고요한기쁨 #지적자극 #마음의안식처 #새로운발견 #감성의숲 #창의력충전 #지혜의보고 #독서의기쁨 #문화의쉼터 #사색의시간 #영감의장소 #지적여행
34,42,KT&G상상마당 홍대,서울 마포구 어울마당로 65,3,a_a008269,서울특별시,송파구,신천동,,,#창의적인영감 #문화적충돌 #예술의향연 #다양성의향기 #현대미술 #독특한경험 #색다른매력 #예술적감동 #문화적발견 #감성자극 #생동감있는 #창작의열기 #특별한순간 #도시의예술 #흥미진진한
35,45,뉴뉴,서울 중구 마장로 34,4,a_a008269,서울특별시,송파구,신천동,,,#독특한발견 #현대적인매력 #감각적인공간 #예술적인감각 #창의적인영감 #도심속여유 #세련된분위기 #특별한경험 #모던한감성 #색다른즐거움 #감각적체험 #기억에남는순간 #품격있는시간 #트렌디한장소 #도시의미학
36,47,남산서울타워,서울특별시 중구 남산공원길 125-72,7,a_a008269,서울특별시,송파구,신천동,,,#탁트인전망 #밤하늘아래 #로맨틱한순간 #서울의심장 #빛나는도시 #황홀한야경 #고요한찰나 #감성가득 #도심속자연 #환상적인뷰 #소중한추억 #눈부신전경 #어둠속의빛 #감동적인경험 #기억에남을순간
37,51,디뮤지엄,서울 성동구 왕십리로 83-21,3,a_a002095,서울특별시,중구,남대문로2가,,,#에너지넘치는 #창의적인영감 #현대적인미학 #독특한경험 #감각적인공간 #눈부신전시 #문화적감성 #신선한발견 #예술적충만 #혁신적인아이디어 #감동의물결 #감각의향연 #생동감있는 #매력적인장소 #다채로운영감
38,52,현대백화점 판교점,경기 성남시 분당구 판교역로146번길 20,4,a_a001364,경기도,성남시 분당구,백현동,,,#세련된분위기 #럭셔리한체험 #감각적인공간 #쇼핑천국 #미식탐험 #다채로운매력 #고급스러운분위기 #트렌디한장소 #풍성한경험 #프리미엄라이프 #편안한휴식 #스타일리시한체험 #새로운발견 #에너지충전 #특별한순간
