,travel,Highest_Music
더현대서울_0,더현대서울_0,Selfish Love_4479
세종문화회관_1,세종문화회관_1,음악의 신_7839
코엑스 아쿠아리움_2,코엑스 아쿠아리움_2,Don't Cry (우리 동네 음악대장)_1347
망원시장_3,망원시장_3,ZIPLOCK_5811
롯데월드타워&롯데월드몰_4,롯데월드타워&롯데월드몰_4,Mad at Disney_3279
해피씨어터_5,해피씨어터_5,Glue_1944
광장시장_6,광장시장_6,Have Yourself A Merry Little Christmas_2132
덕수궁_7,덕수궁_7,혼자 메리 크리스마스 (Prod. by 키겐)_8292
의정부제일시장_8,의정부제일시장_8,잼잼_7954
의정부역 행복로_9,의정부역 행복로_9,Oh My My (What a Life)_3788
석촌호수 서호_10,석촌호수 서호_10,"Me, Myself & I_3358"
경복궁_11,경복궁_11,황진이_8316
아트스페이스 이색_12,아트스페이스 이색_12,혼자 메리 크리스마스 (Prod. by 키겐)_8292
국립현대미술관 서울관 아트샵_13,국립현대미술관 서울관 아트샵_13,Oh My My (What a Life)_3788
아모레퍼시픽미술관_14,아모레퍼시픽미술관_14,Lose Control (Feat. Ciara & Fat Man Scoop)_3100
트리플스트리트_15,트리플스트리트_15,Hands On Me (feat. Meghan Trainor)_2083
송도한옥마을_16,송도한옥마을_16,Summer Rain_4810
가평잣고을시장_17,가평잣고을시장_17,뿜뿜_7280
쎈느_18,쎈느_18,Magic Bird of Fire (Walter Gibbons Disco Madness Remix)_3292
LCDC서울_19,LCDC서울_19,Crash Course_1113
난지한강공원_20,난지한강공원_20,눈누난나 (NUNU NANA)_6815
대조전통시장_21,대조전통시장_21,거리와 너 (Feat. 김태현)_6360
서울특별시교육청 정독도서관_22,서울특별시교육청 정독도서관_22,Illusion_2607
라온아트홀_23,라온아트홀_23,Oh My My (What a Life)_3788
명륜당_24,명륜당_24,SHIVA (Sunburn 2017 Anthem) (Feat. The Golden Army)_4351
남산공원_25,남산공원_25,RNS_4166
봄날아트홀_26,봄날아트홀_26,음악의 신_7839
보신각터_27,보신각터_27,Oh My My (What a Life)_3788
언더스탠드에비뉴_28,언더스탠드에비뉴_28,SEOUL DRIFT_4339
빈티지패션팩토리 용인본점_29,빈티지패션팩토리 용인본점_29,토요일은 밤이 좋아_8164
일산동구 시내_30,일산동구 시내_30,SEOUL DRIFT_4339
일산호수공원_31,일산호수공원_31,Irrelevant_2653
웨스턴돔 A동_32,웨스턴돔 A동_32,SEOUL DRIFT_4339
경의선책거리_33,경의선책거리_33,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)_7930
KT&G상상마당 홍대_34,KT&G상상마당 홍대_34,음악의 신_7839
뉴뉴_35,뉴뉴_35,SEOUL DRIFT_4339
남산서울타워_36,남산서울타워_36,The Christmas Song (Chestnuts Roasting On An Open Fire)_5015
디뮤지엄_37,디뮤지엄_37,너의 밤 (Your Night) (Prod. BOYCOLD)_6762
현대백화점 판교점_38,현대백화점 판교점_38,Bounce (feat. Bassjackers)_688
판교박물관_39,판교박물관_39,SEOUL DRIFT_4339
동춘서커스 상설공연장_40,동춘서커스 상설공연장_40,혼자 메리 크리스마스 (Prod. by 키겐)_8292
동대문 문구완구시장_41,동대문 문구완구시장_41,마지막이야 (Last Dance)_7009
동대문디자인플라자(DDP_42,동대문디자인플라자(DDP_42,Magic Bird of Fire (Walter Gibbons Disco Madness Remix)_3292
흥인지문_43,흥인지문_43,RNS_4166
이정웅 스페이스_44,이정웅 스페이스_44,"Me, Myself & I_3358"
벽초지수목원_45,벽초지수목원_45,VENOM_5365
현대프리미엄아울렛 송도점_46,현대프리미엄아울렛 송도점_46,Slidin' (feat. Kodak Black)_4590
톨장군네_47,톨장군네_47,오아시스 (Feat.이재훈)_7752
화성행궁_48,화성행궁_48,Oh My My (What a Life)_3788
방화수류정_49,방화수류정_49,SUMMER BLUE_4382
잠실종합운동장 올림픽주경기장_50,잠실종합운동장 올림픽주경기장_50,Let Me See Yall (Original Mix)_2976
인천항갑문_51,인천항갑문_51,Nobody wants me_3687
템플_52,템플_52,BITTER SWEET_376
안흥지 애련정_53,안흥지 애련정_53,Tempo_4974
이천시립월전미술관_54,이천시립월전미술관_54,대학생 라이프 시각디자인과 Ver._6891
관고전통시장_55,관고전통시장_55,그해 여름 (DO YOU REMEMBER)_6502
명동난타극장_56,명동난타극장_56,Oh My My (What a Life)_3788
그랜드워커힐서울 컨벤션센터_57,그랜드워커힐서울 컨벤션센터_57,Bounce (feat. Bassjackers)_688
롯데백화점 건대스타시티점_58,롯데백화점 건대스타시티점_58,Gas Me Up (Diligent)_1860
팔달문_59,팔달문_59,My Stupid Heart (Explicit Ver.)_3549
에버랜드_60,에버랜드_60,눈누난나 (NUNU NANA)_6815
낙천지_61,낙천지_61,눈누난나 (NUNU NANA)_6815
백운계곡관광지_62,백운계곡관광지_62,눈누난나 (NUNU NANA)_6815
북촌한옥마을_63,북촌한옥마을_63,Sunroof_4836
그레이츠 판교_64,그레이츠 판교_64,RNS_4166
소래역사관_65,소래역사관_65,Oh My My (What a Life)_3788
인천대공원_66,인천대공원_66,사자후(獅子喉)_7391
인천대공원 환경미래관_67,인천대공원 환경미래관_67,Get Deady_1875
서울식물원 식물문화센터_68,서울식물원 식물문화센터_68,눈누난나 (NUNU NANA)_6815
현대시티아울렛 동대문점_69,현대시티아울렛 동대문점_69,혼자 메리 크리스마스 (Prod. by 키겐)_8292
칠궁_70,칠궁_70,"Perfect World (음악이 필요한 순간, 멜론 CF '위로'편)_4006"
청와대 본관_71,청와대 본관_71,Psycho_4128
롯데아울렛 서울역점_72,롯데아울렛 서울역점_72,Oh My My (What a Life)_3788
동대문종합시장_73,동대문종합시장_73,눈물도 아까워 (Feat. 현아 Of 4Minute)_6817
의정부음악도서관_74,의정부음악도서관_74,Viva La Vida_5395
AK플라자 AKTwn점_75,AK플라자 AKTwn점_75,SEOUL DRIFT_4339
수원화성박물관_76,수원화성박물관_76,A-Yo_149
수원화성_77,수원화성_77,The Fire (feat. Tyler James Bellinger)_5028
MUNIVERSE_78,MUNIVERSE_78,이등병의 DM_7858
풍동애니골_79,풍동애니골_79,Gas Me Up (Diligent)_1860
킨텍스 제2전시장_80,킨텍스 제2전시장_80,Dharma_1292
중남미문화원_81,중남미문화원_81,Oh My My (What a Life)_3788
라페스타_82,라페스타_82,Slidin' (feat. Kodak Black)_4590
롯데백화점 영등포점_83,롯데백화점 영등포점_83,Gas Me Up (Diligent)_1860
낙산공원_84,낙산공원_84,Illusion_2607
혜화문_85,혜화문_85,Sunroof_4836
아트스페이스J_86,아트스페이스J_86,음악의 신_7839
남한산성_87,남한산성_87,혼자 메리 크리스마스 (Prod. by 키겐)_8292
모란민속장_88,모란민속장_88,Illusion_2607
렛츠런파크서울_89,렛츠런파크서울_89,꿈같은 알람_6558
흥인지문공원_90,흥인지문공원_90,RNS_4166
서대문형무소역사관_91,서대문형무소역사관_91,RNS_4166
서울풍물시장_92,서울풍물시장_92,아직도 겨울 (A LONG WINTER)_7571
덕수궁돌담길_93,덕수궁돌담길_93,혼자 메리 크리스마스 (Prod. by 키겐)_8292
양재동꽃시장_94,양재동꽃시장_94,사랑의 미로_7339
힐튼가든인 서울강남점_95,힐튼가든인 서울강남점_95,VENOM_5365
틴틴홀_96,틴틴홀_96,음악의 신_7839
세빛섬_97,세빛섬_97,SEOUL DRIFT_4339
청운문학도서관_98,청운문학도서관_98,Mad at Disney_3279
이촌한강공원_99,이촌한강공원_99,여행 Again (Feat. Cautious Clay)_7682
평화랜드_100,평화랜드_100,Mad at Disney_3279
임진각 평화누리_101,임진각 평화누리_101,Eyes On You_1568
"국립공원공단 북한산생태탐방원, 광륜사_102","국립공원공단 북한산생태탐방원, 광륜사_102",Nobody wants me_3687
녹야선원_103,녹야선원_103,눈누난나 (NUNU NANA)_6815
미스터브리즈커피 도봉산입구점_104,미스터브리즈커피 도봉산입구점_104,Nobody wants me_3687
소극장혜화당_105,소극장혜화당_105,돌아버리겠다_6919
신세계백화점 본점_106,신세계백화점 본점_106,prada dem (feat. Offset)_6111
