명칭,전화번호,주소,위도,경도,주차 가능,조리 가능,픽업서비스,부대 시설,객실명,객실크기,기준인원,비수기주말최소,비수기주중최소,성수기,id
예래펜션,010-9744-7768,제주특별자치도 서귀포시 예래해안로 527(상예동),33.2539916775,126.4002560434,가능,가능,불가,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 잔디정원, 취사용품",스탠다드,12.0,2.0,50000.0,44000.0,68376.58464136109,0
예래펜션,010-9744-7768,제주특별자치도 서귀포시 예래해안로 527(상예동),33.2539916775,126.4002560434,가능,가능,불가,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 잔디정원, 취사용품",슈페리어,24.0,4.0,90000.0,90000.0,123077.8523544499,1
예래펜션,010-9744-7768,제주특별자치도 서귀포시 예래해안로 527(상예동),33.2539916775,126.4002560434,가능,가능,불가,"TV, 드라이기, 바베큐장, 세면도구, 잔디정원, 취사용품",패밀리,36.0,6.0,160000.0,120000.0,218805.0708523554,2
썬랜드 호텔,064-744-1601~2,제주특별자치도 제주시 신광로 92,33.4839982207,126.4895708953,가능,불가,불가,"TV, 드라이기, 레스토랑, 목욕시설, 세면도구",프리미어 패밀리 트윈,8.0,2.0,170000.0,150000.0,170000.0,3
썬랜드 호텔,064-744-1601~2,제주특별자치도 제주시 신광로 92,33.4839982207,126.4895708953,가능,불가,불가,"TV, 드라이기, 레스토랑, 목욕시설, 세면도구",스탠다드 더블,8.0,4.0,60000.0,60000.0,60000.0,4
썬랜드 호텔,064-744-1601~2,제주특별자치도 제주시 신광로 92,33.4839982207,126.4895708953,가능,불가,불가,"TV, 드라이기, 레스토랑, 목욕시설, 세면도구",프리미어 트윈,8.0,2.0,100000.0,100000.0,100000.0,5
썬랜드 호텔,064-744-1601~2,제주특별자치도 제주시 신광로 92,33.4839982207,126.4895708953,가능,불가,불가,"TV, 드라이기, 레스토랑, 목욕시설, 세면도구",스탠다드 트윈,8.0,4.0,80000.0,80000.0,80000.0,6
신세계호텔,064-732-5800,제주특별자치도 서귀포시 중앙로 2-2,33.2447147065,126.5623172,가능,불가,불가,"TV, 드라이기, 목욕시설, 한식당",일반실,8.0,2.0,70000.0,66036.18352300768,95727.21849790552,7
토비스콘도 제주,064-798-8200,제주특별자치도 제주시 애월읍 애월로1길 8,33.4631615996,126.3117312768,가능,가능,불가,"TV, 노래방, 드라이기, 목욕시설, 바베큐장, 세면도구, 세탁실, 연회장, 조식당, 취사용품, 편의점",온돌/침대,17.0,2.0,110000.0,110000.0,180000.0,8
토비스콘도 제주,064-798-8200,제주특별자치도 제주시 애월읍 애월로1길 8,33.4631615996,126.3117312768,가능,가능,불가,"TV, 노래방, 드라이기, 목욕시설, 바베큐장, 세탁실, 연회장, 조식당, 취사용품, 편의점",온돌/침대,25.0,4.0,160000.0,160000.0,230000.0,9
토비스콘도 제주,064-798-8200,제주특별자치도 제주시 애월읍 애월로1길 8,33.4631615996,126.3117312768,가능,가능,불가,"TV, 노래방, 드라이기, 목욕시설, 바베큐장, 세탁실, 연회장, 조식당, 취사용품, 편의점",온돌/침대,43.0,6.0,250000.0,250000.0,400000.0,10
토비스콘도 제주,064-798-8200,제주특별자치도 제주시 애월읍 애월로1길 8,33.4631615996,126.3117312768,가능,가능,불가,"TV, 노래방, 드라이기, 목욕시설, 바베큐장, 세탁실, 연회장, 조식당, 취사용품, 편의점",온돌/침대,17.0,2.0,110000.0,110000.0,180000.0,11
토비스콘도 제주,064-798-8200,제주특별자치도 제주시 애월읍 애월로1길 8,33.4631615996,126.3117312768,가능,가능,불가,"TV, 노래방, 드라이기, 목욕시설, 바베큐장, 세탁실, 연회장, 조식당, 취사용품, 편의점",온돌/침대,25.0,4.0,160000.0,160000.0,230000.0,12
함덕삼다펜션,064-782-1700,제주특별자치도 제주시 조천읍 조함해안로 488,33.5427778482,126.6649015424,가능,불가,불가,"TV, 드라이기, 목욕시설, 식당(1F), 편의점(1F)",10평형,10.0,2.0,150000.0,141506.1075493022,205129.7539240833,13
함덕삼다펜션,064-782-1700,제주특별자치도 제주시 조천읍 조함해안로 488,33.5427778482,126.6649015424,가능,불가,불가,"TV, 드라이기, 목욕시설, 식당(1F), 편의점(1F)",12평형,12.0,2.0,150000.0,141506.1075493022,205129.7539240833,14
함덕삼다펜션,064-782-1700,제주특별자치도 제주시 조천읍 조함해안로 488,33.5427778482,126.6649015424,가능,불가,불가,"TV, 드라이기, 목욕시설, 식당(1F), 편의점(1F)",15평형,15.0,2.0,150000.0,141506.1075493022,205129.7539240833,15
함덕삼다펜션,064-782-1700,제주특별자치도 제주시 조천읍 조함해안로 488,33.5427778482,126.6649015424,가능,불가,불가,"TV, 드라이기, 목욕시설, 식당(1F), 편의점(1F)",20평형,20.0,3.0,150000.0,141506.1075493022,205129.7539240833,16
소랑호젠,064-764-8016,제주특별자치도 서귀포시 남원읍 태위로 545,33.2758329923,126.7052513401,가능,가능,불가,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 애플망고농장, 취사용품",15평형,15.0,2.0,59000.0,59000.0,80684.36987680607,17
소랑호젠,064-764-8016,제주특별자치도 서귀포시 남원읍 태위로 545,33.2758329923,126.7052513401,가능,가능,불가,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 애플망고농장, 취사용품",20평형,20.0,4.0,130000.0,130000.0,177779.1200675388,18
소랑호젠,064-764-8016,제주특별자치도 서귀포시 남원읍 태위로 545,33.2758329923,126.7052513401,가능,가능,불가,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 애플망고농장, 취사용품",17평형,15.0,3.0,69000.0,69000.0,94359.6868050783,19
펠리스타운,064-782-4003,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,33.4744809898,126.9081014524,가능,불가,불가,"TV, 드라이기, 목욕시설, 세면도구",더블,15.0,2.0,45000.0,45000.0,61538.92617722497,20
펠리스타운,064-782-4003,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,33.4744809898,126.9081014524,가능,가능,불가,"TV, 드라이기, 목욕시설, 세면도구, 취사용품",레지던스 더블,15.0,2.0,60000.0,60000.0,82051.9015696333,21
펠리스타운,064-782-4003,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,33.4744809898,126.9081014524,가능,불가,불가,"TV, 드라이기, 목욕시설, 세면도구",싱글,15.0,,35000.0,35000.0,47863.60924895276,22
펠리스타운,064-782-4003,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,33.4744809898,126.9081014524,가능,불가,불가,"TV, 드라이기, 목욕시설, 세면도구, 취사용품",패밀리트윈,15.0,2.0,90000.0,90000.0,123077.8523544499,23
서귀포 귤림성,064-739-3331,제주특별자치도 서귀포시 일주동로 8941,33.2503192271,126.5360193536,가능,가능,불가,"PC, TV, 드라이기, 목욕시설, 사운드오브아일랜드홀(LP감상실), 석부작 실내전시장, 세면도구, 숨도(정원), 숨도cafe, 취사용품",콘도형 15평형,15.0,2.0,90000.0,80000.0,123077.8523544499,24
서귀포 귤림성,064-739-3331,제주특별자치도 서귀포시 일주동로 8941,33.2503192271,126.5360193536,가능,가능,불가,"PC, TV, 드라이기, 목욕시설, 사운드오브아일랜드홀(LP감상실), 석부작 실내전시장, 세면도구, 숨도(정원), 숨도cafe, 취사용품",통나무형 17평형,17.0,2.0,110000.0,100000.0,150428.4862109944,25
서귀포 귤림성,064-739-3331,제주특별자치도 서귀포시 일주동로 8941,33.2503192271,126.5360193536,가능,가능,불가,"PC, TV, 드라이기, 목욕시설, 사운드오브아일랜드홀(LP감상실), 석부작 실내전시장, 세면도구, 숨도(정원), 숨도cafe, 취사용품",미국식목조형 15평형,15.0,2.0,100000.0,90000.0,136753.1692827222,26
서귀포 귤림성,064-739-3331,제주특별자치도 서귀포시 일주동로 8941,33.2503192271,126.5360193536,가능,가능,불가,"PC, TV, 드라이기, 목욕시설, 사운드오브아일랜드홀(LP감상실), 석부작 실내전시장, 세면도구, 숨도(정원), 숨도cafe, 취사용품",별장형 17평형,17.0,2.0,110000.0,100000.0,150428.4862109944,27
서귀포 귤림성,064-739-3331,제주특별자치도 서귀포시 일주동로 8941,33.2503192271,126.5360193536,가능,가능,불가,"PC, TV, 드라이기, 목욕시설, 사운드오브아일랜드홀(LP감상실), 석부작 실내전시장, 세면도구, 숨도(정원), 숨도cafe, 욕조, 취사용품",패밀리독채형 42평형,42.0,10.0,500000.0,400000.0,683765.8464136109,28
제주 금강산콘도,064-795-7800,제주특별자치도 제주시 한림읍 협재로 210-18,33.3795865508,126.2502662709,가능,가능,불가,"TV, 노래방, 대연회장, 목욕시설, 세미나실, 수영장, 슈퍼마켓, 야외 행사장, 취사용품, 한식당",27평형,27.0,5.0,330000.0,311313.4366084648,451285.4586329832,29
제주 금강산콘도,064-795-7800,제주특별자치도 제주시 한림읍 협재로 210-18,33.3795865508,126.2502662709,가능,가능,불가,"TV, 노래방, 대연회장, 목욕시설, 세미나실, 수영장, 슈퍼마켓, 야외 행사장, 취사용품, 한식당",50평형,50.0,7.0,330000.0,311313.4366084648,451285.4586329832,30
라운지하우스 제주다,064-792-5670,제주특별자치도 서귀포시 안덕면 사계남로50번길 60,33.2232794901,126.2926827266,가능,가능,가능,"TV, 공동라운지, 드라이기, 목욕시설, 미니매점, 바베큐장, 세면도구, 취사용품",'',7.0,6.0,350000.0,300000.0,478636.0924895276,31
라운지하우스 제주다,064-792-5670,제주특별자치도 서귀포시 안덕면 사계남로50번길 60,33.2232794901,126.2926827266,가능,가능,가능,"TV, 공동라운지, 드라이기, 목욕시설, 미니매점, 바베큐장, 세면도구, 취사용품",'',7.0,4.0,250000.0,200000.0,341882.9232068054,32
라운지하우스 제주다,064-792-5670,제주특별자치도 서귀포시 안덕면 사계남로50번길 60,33.2232794901,126.2926827266,가능,가능,가능,"TV, 공동라운지, 드라이기, 목욕시설, 미니매점, 바베큐장, 세면도구, 취사용품",'',7.0,2.0,80000.0,80000.0,109402.5354261777,33
라운지하우스 제주다,064-792-5670,제주특별자치도 서귀포시 안덕면 사계남로50번길 60,33.2232794901,126.2926827266,가능,가능,가능,"TV, 공동라운지, 드라이기, 목욕시설, 미니매점, 바베큐장, 세면도구, 취사용품",트윈룸,7.0,2.0,80000.0,80000.0,109402.5354261777,34
라운지하우스 제주다,064-792-5670,제주특별자치도 서귀포시 안덕면 사계남로50번길 60,33.2232794901,126.2926827266,가능,가능,가능,"TV, 공동라운지, 드라이기, 목욕시설, 미니매점, 바베큐장, 세면도구, 취사용품",트리플룸,7.0,3.0,120000.0,100000.0,164103.8031392666,35
미도모텔,064-782-0820,제주특별자치도 서귀포시 성산읍 성산등용로 1,33.4641769864,126.9336078135,가능,불가,불가,"TV, 세면도구",온돌방,16.0,2.0,233959.0,220710.8494408479,319946.3473221639,36
미도모텔,064-782-0820,제주특별자치도 서귀포시 성산읍 성산등용로 1,33.4641769864,126.9336078135,가능,불가,불가,"TV, 세면도구",침대방,16.0,2.0,233959.0,220710.8494408479,319946.3473221639,37
티파니에서 아침을,064-764-9669,제주특별자치도 서귀포시 남원읍 서의로154번길 12,33.3050243273,126.7121889669,가능,가능,불가,"TV, 드라이기, 목욕시설, 세면도구, 취사용품",디럭스 트윈,13.0,2.0,115000.0,115000.0,150000.0,38
티파니에서 아침을,064-764-9669,제주특별자치도 서귀포시 남원읍 서의로154번길 12,33.3050243273,126.7121889669,가능,가능,불가,"TV, 드라이기, 목욕시설, 세면도구, 취사용품",가족룸,15.0,4.0,130000.0,130000.0,170000.0,39
티파니에서 아침을,064-764-9669,제주특별자치도 서귀포시 남원읍 서의로154번길 12,33.3050243273,126.7121889669,가능,가능,불가,"TV, 드라이기, 목욕시설, 세면도구, 취사용품","룸2,3,4",11.0,2.0,110000.0,110000.0,130000.0,40
청재설헌,064-732-2020,제주특별자치도 서귀포시 인정오름로 135-18,33.2891599519,126.5717570498,가능,가능,가능,"TV, 드라이기, 목욕시설, 세면도구, 취사용품",한실,16.0,2.0,235203.0,221884.4067594568,321647.556748041,41
청재설헌,064-732-2020,제주특별자치도 서귀포시 인정오름로 135-18,33.2891599519,126.5717570498,가능,가능,가능,"TV, 드라이기, 목욕시설, 세면도구, 취사용품",트윈,16.0,2.0,235203.0,221884.4067594568,321647.556748041,42
청재설헌,064-732-2020,제주특별자치도 서귀포시 인정오름로 135-18,33.2891599519,126.5717570498,가능,가능,가능,"TV, 드라이기, 목욕시설, 세면도구",4인실,16.0,4.0,235203.0,221884.4067594568,321647.556748041,43
청재설헌,064-732-2020,제주특별자치도 서귀포시 인정오름로 135-18,33.2891599519,126.5717570498,가능,가능,가능,"TV, 드라이기, 목욕시설, 세면도구, 취사용품",킹,16.0,2.0,235203.0,221884.4067594568,321647.556748041,44
나인브릿지콘도,064-793-9999,제주특별자치도 서귀포시 안덕면 광평로 34-156,33.3404016406,126.4042620974,가능,불가,불가,"TV, 골프장, 드라이기, 레스토랑, 목욕시설, 세면도구, 수영장, 스파, 연회장, 취사용품, 프로샵, 휘트니스",196 평형 빌라,196.0,2.0,2600000.0,2600000.0,3555582.401350776,45
나인브릿지콘도,064-793-9999,제주특별자치도 서귀포시 안덕면 광평로 34-156,33.3404016406,126.4042620974,가능,불가,불가,"TV, 골프장, 드라이기, 레스토랑, 목욕시설, 세면도구, 수영장, 스파, 연회장, 취사용품, 프로샵, 휘트니스",56 평형 콘도,56.0,2.0,880000.0,880000.0,1203427.889687955,46
귤익는마을,064-787-0543,제주특별자치도 서귀포시 성산읍 신천서로 11,33.3441111157,126.8501205782,가능,가능,불가,"TV, 목욕시설, 세면도구, 야외주방, 야외화장실, 취사용품, 휴게실",[별관] 흥진 3호,9.0,2.0,60000.0,50000.0,80000.0,47
귤익는마을,064-787-0543,제주특별자치도 서귀포시 성산읍 신천서로 11,33.3441111157,126.8501205782,가능,가능,불가,"TV, 목욕시설, 세면도구, 야외주방, 야외화장실, 취사용품, 휴게실",[본관] 청강,13.0,2.0,70000.0,60000.0,100000.0,48
귤익는마을,064-787-0543,제주특별자치도 서귀포시 성산읍 신천서로 11,33.3441111157,126.8501205782,가능,가능,불가,"TV, 목욕시설, 세면도구, 야외주방, 야외화장실, 취사용품, 휴게실",[본관] 궁천,11.0,2.0,60000.0,50000.0,80000.0,49
귤익는마을,064-787-0543,제주특별자치도 서귀포시 성산읍 신천서로 11,33.3441111157,126.8501205782,가능,가능,불가,"TV, 목욕시설, 세면도구, 야외주방, 야외화장실, 취사용품, 휴게실",[본관] 다원,12.0,2.0,70000.0,60000.0,100000.0,50
귤익는마을,064-787-0543,제주특별자치도 서귀포시 성산읍 신천서로 11,33.3441111157,126.8501205782,가능,가능,불가,"TV, 목욕시설, 세면도구, 야외주방, 야외화장실, 취사용품, 휴게실",[별관] 흥진 1호,20.0,6.0,150000.0,120000.0,200000.0,51
귤익는마을,064-787-0543,제주특별자치도 서귀포시 성산읍 신천서로 11,33.3441111157,126.8501205782,가능,가능,불가,"TV, 목욕시설, 세면도구, 야외주방, 야외화장실, 취사용품, 휴게실",[별관] 흥진 2호,12.0,2.0,70000.0,60000.0,80000.0,52
에덴호스텔,,제주특별자치도 제주시 서해안로 456-12(용담삼동),33.5184027384,126.4891868158,가능,가능,가능,"TV, 드라이기, 목욕시설, 세면도구, 없음, 취사용품",일반실,9.0,2.0,50000.0,50000.0,50000.0,53
에덴호스텔,,제주특별자치도 제주시 서해안로 456-12(용담삼동),33.5184027384,126.4891868158,가능,가능,가능,"PC, TV, 드라이기, 목욕시설, 세면도구, 없음, 취사용품",특실,9.0,2.0,100000.0,100000.0,100000.0,54
카이 호스텔,,제주특별자치도 제주시 한림읍 협재2길 10,33.3922238993,126.2412473291,가능,불가,가능,"94번가, TV, 돼지굽는정원, 드라이기, 목욕시설",스탠다드 베드룸,24.0,2.0,257983.0,243374.4676259441,352799.9287106451,55
카이 호스텔,,제주특별자치도 제주시 한림읍 협재2길 10,33.3922238993,126.2412473291,가능,불가,가능,"94번가, TV, 돼지굽는정원, 드라이기, 목욕시설, 취사용품",스탠다드 온돌룸,24.0,2.0,257983.0,243374.4676259441,352799.9287106451,56
카이 호스텔,,제주특별자치도 제주시 한림읍 협재2길 10,33.3922238993,126.2412473291,가능,불가,가능,"94번가, TV, 돼지굽는정원, 드라이기, 목욕시설, 취사용품",트윈룸,24.0,3.0,257983.0,243374.4676259441,352799.9287106451,57
카이 호스텔,,제주특별자치도 제주시 한림읍 협재2길 10,33.3922238993,126.2412473291,가능,불가,가능,"94번가, TV, 돼지굽는정원, 드라이기, 목욕시설, 취사용품",스위트 트윈룸,24.0,4.0,257983.0,243374.4676259441,352799.9287106451,58
카이 호스텔,,제주특별자치도 제주시 한림읍 협재2길 10,33.3922238993,126.2412473291,가능,불가,가능,"94번가, TV, 돼지굽는정원, 드라이기, 목욕시설, 취사용품",디럭스룸,24.0,4.0,257983.0,243374.4676259441,352799.9287106451,59
카이 호스텔,,제주특별자치도 제주시 한림읍 협재2길 10,33.3922238993,126.2412473291,가능,불가,가능,"94번가, TV, 돼지굽는정원, 드라이기, 목욕시설, 취사용품",패밀리룸,24.0,5.0,257983.0,243374.4676259441,352799.9287106451,60
솔바람풍경소리,064-764-6002,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37,33.2905372325,126.7244354569,가능,가능,가능,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 취사용품",원룸,15.0,2.0,59000.0,55659.06896939219,80684.36987680607,61
솔바람풍경소리,064-764-6002,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37,33.2905372325,126.7244354569,가능,가능,가능,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 취사용품",복층,20.0,4.0,59000.0,55659.06896939219,80684.36987680607,62
솔바람풍경소리,064-764-6002,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37,33.2905372325,126.7244354569,가능,가능,가능,"TV, 드라이기, 목욕시설, 바베큐장, 세면도구, 취사용품",원룸,15.0,2.0,59000.0,55659.06896939219,80684.36987680607,63
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원, 취사용품",커플룸,15.0,2.0,80000.0,70000.0,109402.5354261777,64
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원, 취사용품",트윈룸,20.0,2.0,140000.0,130000.0,191454.436995811,65
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원",스위트룸,22.0,2.0,140000.0,130000.0,191454.436995811,66
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원",허니문룸,15.0,2.0,80000.0,70000.0,109402.5354261777,67
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원, 취사용품",패밀리룸,30.0,5.0,260000.0,260000.0,355558.2401350776,68
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원, 취사용품",로얄스파룸,30.0,5.0,280000.0,270000.0,382908.8739916221,69
