음식점 이름,음식점 주소,전화번호,태그,특징,상세페이지 주소,좌표,lat,lon,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,img,주차시설,가성비,반려동물동반,위생,로컬 맛집,조용한,좋은 분위기,오션뷰,뷰가 좋은,theme,리뷰,has_required_food,id
명진전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,064-782-9944,"수요미식회, 가족외식, 식사모임","시끌벅적한, 예약, 아침식사, 점심식사, 저녁식사, 무료주차",https://www.diningcode.com/profile.php?rid=sobVpOHB9fPU,"{'lat': '33.5324010144195', 'lng': '126.849429127672'}",33.53240101,126.8494291,9:30,21:30,9:30,21:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ef12eb59-756e-4e9b-a227-60eb3fbd8cf4.gif,True,False,False,False,False,False,False,False,False,"#전복 #돌솥밥 #회
#음식 #전복해물탕 #전복죽 #전복뚝배기 #전복버터구이 #전복물회 #전복돌솥밥 #전복구이 #전복회 #고등어구이",210.2,False,0
제주김만복본점,제주특별자치도 제주시 오라로 41,064-759-8582,"간식, 혼자먹기","서민적인, 예약, 아침식사, 점심식사, 저녁식사, 테이크아웃, 아기의자, 무료주차, 배달",https://www.diningcode.com/profile.php?rid=vOZVZL2mfIxI,"{'lat': '33.4970418018495', 'lng': '126.50892242155'}",33.4970418,126.5089224,8:00,20:30,8:00,20:30, https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/40ae8c39-9888-4a75-84b7-23be785115a5.jpg,True,True,False,False,False,False,False,False,False,"#전복김밥 #통전복주먹밥 #미역국
#음식 #해물라면 #라면 #김밥 #주먹밥 #불갈비김밥 #오징어라면 #오징어무침 #비빔면 #새우장 #전복장 #소고기무국",140.7,False,1
우진해장국,제주특별자치도 제주시 서사로 11,064-757-3393,"다코숨은맛집, 수요미식회, 혼밥, 해장","서민적인, 깔끔한, 아침식사, 점심식사, 저녁식사, 포장가능, 무료주차",https://www.diningcode.com/profile.php?rid=qDqIccpAUNVy,"{'lat': '33.5115386823178', 'lng': '126.520016120454'}",33.51153868,126.5200161,6:00,22:00,6:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/22/d3315a0a-ccf0-4f0d-93c1-12c804558a71.JPG,True,True,False,True,False,False,False,False,False,"#해장국 #고사리육개장 #사골해장국
#녹두빈대떡 #음식 #몸국 #육개장 #빈대떡",373.4,False,2
가시아방국수,제주특별자치도 서귀포시 성산읍 섭지코지로 10,064-783-0987,"수요미식회, 알쓸신잡, 가족외식, 해장","서민적인, 깔끔한, 아침식사, 점심식사, 저녁식사, 예약가능, 아기의자, 무료주차",https://www.diningcode.com/profile.php?rid=c817VdykeTCD,"{'lat': '33.4386292568527', 'lng': '126.918078741951'}",33.43862926,126.9180787,10:00,20:30,10:00,20:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4f60ac3e-9226-4b77-af1e-e75a814ec889.jpeg,True,True,False,True,False,False,False,False,False,"#고기국수 #비빔국수 #향토음식
#음식 #국수 #멸치국수 #돔베고기 #물만두 #비빔고기국수",180.2,False,3
돈사돈본관,제주특별자치도 제주시 우평로 19,064-746-8989,"수요미식회, 술모임, 가족외식","시끌벅적한, 원조, 점심식사, 저녁식사, 연탄구이, 연탄불, 무료주차",https://www.diningcode.com/profile.php?rid=Ve5cAf4chffM,"{'lat': '33.4788680102903', 'lng': '126.464026131012'}",33.47886801,126.4640261,12:00,22:00,12:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/64a751af-12ab-49b6-8d52-7d753a0be7ee.gif,True,False,False,False,False,False,False,False,False,"#근고기 #연탄구이 #목살
#오겹살 #흑돼지 #음식 #삼겹살 #흑돼지오겹살 #김치찌개",135.2,False,4
수우동,제주특별자치도 제주시 한림읍 협재1길 11,064-796-5830,"수요미식회, 나혼자산다, 데이트, 가족외식","깔끔한, 예약, 점심식사, 바다가보이는, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=I1nGKDndnr7h,"{'lat': '33.3966216151712', 'lng': '126.242446004839'}",33.39662162,126.242446,10:30,17:00,10:30,17:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/94126a85-a542-4900-a42d-5af282633cd7.jpg,True,False,True,True,False,False,False,True,False,"#돈까스 #우동 #일식
#음식 #돈가스 #감자고로케 #김치우동 #2022고메페스타 #유부우동 #냉우동 #돈가스정식 #어묵우동 #모둠튀김 #고로케 #왕새우튀김우동 #새우튀김우동 #수제돈까스 #등심돈까스 #새우튀김",147.1,False,5
명랑스낵,제주특별자치도 제주시 한림읍 한림로 585,0507-1344-4548,"간식, 데이트","서민적인, 매콤, 점심식사, 연중무휴, 반려동물동반, 야외좌석(테라스), 무료주차",https://www.diningcode.com/profile.php?rid=TO38S0dJdeDJ,"{'lat': '33.4092985445972', 'lng': '126.258772321923'}",33.40929854,126.2587723,11:30,18:00,11:30,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/3991da7a-b581-43a7-827d-9b59e66e6ea6.jpg,True,True,True,False,False,False,False,False,True,"#떡볶이 #왕새우튀김 #흑돼지튀김
#생맥주 #짜장떡볶이 #음식 #튀김 #오징어튀김 #아이스크림",103.2,False,6
남호식당,제주특별자치도 서귀포시 김정문화로 71,064-739-8375,"제주도민맛집, 식사모임, 회식","푸짐한, 현지인맛집, 저녁식사",https://www.diningcode.com/profile.php?rid=7BxTZIJqKBTt,"{'lat': '33.2508029010965', 'lng': '126.51223526014'}",33.2508029,126.5122353,16:00,23:00,16:00,23:00,https://api.cdn.visitjeju.net/photomng/imgpath/201910/16/76348757-2736-4d9b-91b5-5cc03006204f.jpg,False,False,False,False,True,False,False,False,False,"#항정상 #오겹살 #속풀이라면
#음식 #흑돼지 #라면 #2022고메페스타",83.0,False,7
순옥이네명가,제주 제주시 도공로 8,064-743-4813,"수요미식회, 가족외식, 해장","서민적인, 깔끔한, 아침식사, 점심식사, 저녁식사, 아기의자, 무료주차",https://www.diningcode.com/profile.php?rid=C4HZgSqQFMl2,"{'lat': '33.5055171886466', 'lng': '126.464981289097'}",33.50551719,126.4649813,9:00,21:00,9:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/789bdb61-a9a6-409b-9695-d661d6a12cb5.gif,True,True,False,True,False,False,False,False,False,"#전복물회 #성게미역국 #해물뚝배기
#전복 #성게 #음식 #전복뚝배기 #해산물 #해산물모둠 #전복찜 #전복회 #뚝배기 #한치물회 #물회 #전복죽 #고등어구이 #소라 #돌멍게 #해삼 #옥돔구이 #전복장",135.7,False,8
고래라면,제주특별자치도 서귀포시 성산읍 삼달로 104,064-782-6685,해장,"시원, 얼큰, 점심식사, 반려동물동반",https://www.diningcode.com/profile.php?rid=iC4Yi9b0J7PP,"{'lat': '33.3719323975417', 'lng': '126.858277176312'}",33.3719324,126.8582772,9:00,18:00,9:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201810/30/e79ebbdc-ab46-4260-898b-14ede1e8906b.jpg,False,False,True,False,False,False,False,False,False,"#라면 #국수 #비빔국수
#음식 #해물라면 #문어라면 #만두 #새우만두 #칼국수 #해물바지락칼국수",71.1,False,9
