,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,VISIT_AREA_NM,total_score,VISIT_AREA_NM_encoded
0,0,20,1,1,1,1,성산일출봉,0.6666666666666666,132
1,0,40,1,1,1,1,우도,0.8333333333333333,180
2,0,40,1,1,1,1,제주돌창고,0.5833333333333333,210
3,1,20,1,1,1,2,사려니숲길,1.0,102
4,1,20,1,1,2,1,협재해수욕장,1.0,294
5,0,20,1,1,1,3,월정리해수욕장,1.0,186
6,0,20,1,1,1,3,아침미소목장,1.0,153
7,1,20,3,1,1,1,산굼부리,0.75,103
8,1,30,1,1,2,2,새별오름,1.0,114
9,1,30,1,1,2,2,외도339,0.75,175
10,1,30,1,1,3,3,오설록티뮤지엄,1.0,171
11,1,20,3,2,2,2,한라산국립공원,0.75,283
12,1,50,1,2,1,1,에코랜드테마파크,1.0,168
13,1,20,2,1,1,3,용눈이오름,1.0,177
14,1,60,1,1,1,1,비자림,0.5,98
15,0,40,1,1,1,2,천지연폭포,0.75,245
16,0,20,2,1,2,2,김녕해수욕장,1.0,21
17,0,20,2,1,2,2,마음에온,0.75,70
18,1,20,1,1,2,1,세화해변,0.75,137
19,0,30,1,1,1,3,쇠소깍,0.5,139
20,1,30,2,3,3,2,금능해수욕장,0.5,19
21,1,20,1,3,3,2,마라도,0.75,67
22,1,20,1,1,1,2,용머리해안,1.0,179
23,1,20,1,1,1,2,곽지해수욕장,0.5,6
24,1,20,1,1,1,2,월령선인장군락지,0.4166666666666666,185
25,0,30,1,1,1,1,정방폭포,1.0,199
26,0,30,1,1,1,3,용두암,1.0,178
27,1,30,1,1,1,2,가파도,1.0,1
28,1,50,1,2,1,2,다랑쉬오름,0.8333333333333333,39
29,1,50,1,2,1,2,수월봉,0.75,142
30,1,20,2,1,1,1,한림공원,1.0,287
31,1,20,1,3,1,3,더럭초등학교,1.0,45
32,1,20,1,3,1,3,김만덕객주,0.75,22
33,1,20,1,3,1,3,조천만세동산,1.0,238
34,1,20,1,1,1,3,천제연폭포,0.8333333333333333,244
