tourist_id,tourist_x,tourist_address_x,theme2,star,Like,scrap,telephone_x,소개,주요목적,평균 소요 시간,상세 정보,경사도(난이도),X_COORD,Y_COORD,요금 정보,편의시설,장소 특성,평일_시작,평일_끝,주말_시작,주말_끝,category,img_url
CONT_000000000500349,성산일출봉,제주특별자치도 서귀포시 성산읍 일출로 284-12,"['일출', '오름', '경관/포토', '부모', '자연경관', '포토스팟', '유네스코', '무장애관광', '공영관광지']",5.0,390,4656,(+82) 064-783-0959,"바다위에 우뚝 솟아난 수성화산·유네스코 세계자연유산, 천연기념물 제420호, 올레1코스",등산,1.0,"3~9월 7:00~20:00(18시 50분 매표 마감), 10~2월 7:30~19:00(17시 50분 매표 마감) / 매달 1번째 월요일 정기 휴관",상,126.9405375,33.45913497,"유료,개인 (성인 5,000원 / 청소년, 군인 2,500원 / 어린이 2,500원), 단체 (성인 4,000원 / 청소년, 군인 2,000원 / 어린이 2,000원)","공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",실외,07:00:00,20:00:00,07:00:00,20:00:00,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202409/20/464d6099-295a-4e60-bd93-9e65388f4d0d.png
CONT_000000000500477,우도,제주특별자치도 제주시 우도면 삼양고수물길 1,"['제주여행', '제주동쪽가볼만한곳', '성산항', '땅콩', '전기자전거', '해변', '제주바다', '서빈백사', '하고수동']",5.0,246,2874,(+82) 064-782-5671,소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬,"체험,포토스팟,기타,등산,물놀이",1.5,"우도 외부차량(렌터카, 전세버스) 반입 제한(2025. 7. 31.까지). 단, 1~3급 장애인과 만 65세 이상 노약자, 임산부, 만 6세 미만의 영유아를 동반하는 경우와 우도에 숙박하는 관광객이 탄 렌터카는 반입 가능",상,126.9348907,33.47296642,"유료,일반 입장료 : 1.000원 / 장애인 무료 (선박료 별도)","공용주차장,화장실,편의점,음료대",실내+실외,00:00:00,00:00:00,00:00:00,00:00:00,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/21/92bf5bba-77fc-4829-8555-5076b2e7bb52.jpg
CONT_000000000500281,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,"['제주여행', '제주도갈만한곳', '한라산둘레길', '힐링제주', '삼나무', '스트레스해소', '힐링제주', '화산송이']",5.0,265,3762,(+82) 064-900-8800,"제주 숨은 비경 31, 삼나무 향기에 취하며 걷는 아름답고 청정한 숲길",,1.569672131147541,17:00 까지 퇴장 / 우천 및 폭설 시 통행 제한 있을 수 있으므로 방문 전 유선 확인 필요,,126.6264973,33.42203283,,화장실,,09:00:00,17:00:00,09:00:00,17:00:00,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/16/a1b79a17-078f-4232-be2d-980f5f5e2a6e.jpg
CNTS_000000000001195,카멜리아힐,제주 서귀포시 안덕면 병악로 166,"['수목원', '아이', '커플', '동백', '수국', '어린이', '힐링', '무장애관광']",5.0,203,3747,(+82) 064-800-6296,커플들과 아이를 동반한 가족 단위 관광객에게 인기가 높은 동양에서 가장 큰 동백 수목원,"공연/전시,포토스팟",2.5,"하절기(6~8월) 8:30~19:00(18시 발권 및 입장 마감) / 간절기(3~5월, 9~10월) 8:30~18:30(17시 30분 발권 및 입장 마감) / 동절기(11~2월) 8:30~18:00(17시 발권 및 입장 마감) / 연중 무휴 / 반려동물은 8kg 미만, 목줄 착용 후 입장 가능",중,126.3700095,33.28963443,"유료,개인 (성인 10,000원 / 청소년, 경로, 군인 8,000원 / 어린이, 장애인, 보훈대상 및 4.3 유족 7,000원), 단체 (성인 8,000원 / 청소년, 경로, 군인 7,000원 / 어린이, 장애인, 보훈대상 및 4.3 유족 6,000원)","공용주차장,현금결제,카드결제,화장실",실외,08:30:00,19:00:00,08:30:00,19:00:00,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202406/21/0db4507a-36a3-4bc5-8259-ba29838e1717.jpg
CONT_000000000500697,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,"['제주여행', '제주해수욕장', '제주물놀이', '제주바다', '한림', '가족여행', '제주서쪽', '은모래', '제주자연']",5.0,195,3300,(+82) 064-728-3981,"비양도, 은모래, 바다가 그려낸 그림같이 아름다운 해변",물놀이,1.5,"협재 종합상황실: 064-728-3981(해수욕장 개장기간 동안 운영) / 1주차장 무료, 2주차장 유료(첫 30분 이후 30분 초과 1,000원, 이후 15분당 500원/오후 6시~오전 9시 무료)",,126.2391575,33.39386608,무료,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",실외,,,,,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/27/6b6dc9c4-5466-493e-98e5-580dbf18eefc.jpg
CONT_000000000500496,월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3,"['제주', '제주바다', '월정리', '월정리해수욕장', '제주서핑', '제주도서핑', '월정리서핑', '해변', '바다']",5.0,119,2838,(+82) 064-783-5798,"'달이 머물다 가는’ 제주도의 아름다운 해변, 월정리해수욕장",,1.569672131147541,해수욕장 개장기간에만 종합상황실 운영 064-728-3906~7 2024개장일 7월 1일부터,,126.7958051,33.55646939,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,10:00:00,19:00:00,10:00:00,19:00:00,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202407/10/6136a994-a08d-495a-a912-0a1e7b1171e8.jpg
CONT_000000000500693,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,"['제주여행', '제주해수욕장', '제주바다', '물놀이', '모래사장', '제주여름', '함덕해변', '제주동쪽']",5.0,69,1912,(+82) 064-728-3989,에매랄드처럼 빛나는 '한국의 몰디브',,1.5,"함덕 종합상황실: 064-728-3989 (해수욕장 개장기간 변동.) / 소형견, 중형견, 대형견 입장가능 / 동물보호법에 따라 목줄·가슴줄 길이 2미터 이내로 유지 리드줄 / 배변봉투 필수",,126.6692389,33.54306157,무료,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",실외,,,,,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/20/df7e7656-d60b-4748-8793-4996c50aeff6.jpg
CONT_000000000500283,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,"['오름', '걷기/등산', '친구', '맑음', '가을', '우수관광사업체', '자연경관', '억새', '무장애관광']",5.0,55,1471,(+82) 064-783-9900,"사계절마다 다른풍경의 '분화구 식물원', 국가지정 문화재 천연기념물 263호",등산,1.5,"3~6월, 9~10월 9:00~18:40(18시 입장 마감) / 7~8월, 11~2월 9:00~17:40(17시 입장 마감)",상,126.693832,33.43257409,"유료,개인 (성인 7,000원 / 청소년, 어린이 6,000원 / 경로, 도민, 국가유공자, 장애인 5,000원), 단체 (성인 6,000원 / 청소년, 어린이 5,000원) / 경로, 도민, 국가유공자, 장애인 5,000원","공용주차장,현금결제,카드결제,화장실,편의점,음료대",실외,,,,,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a7b4a973-40e9-44e6-87d9-46a4c4f3b367.jpg
CONT_000000000500309,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,"['일몰', '밤', '오름', '걷기/등산', '아이', '봄', '자연경관', '도보여행', '도보', '어린이', '억새', '반려동물', '반려동물동반입장', '반려동물동반_오름', '반려동물동반_자연', '반려동물동반_관광지']",5.0,71,1493,(+82) 064-728-2753/064-728-2762,제주 서부 애월에 위치해 있으며 억새가 아름다운 오름,,1.0,"연중무휴(산불예방 입산통제기간 없음) / 소형견, 중형견, 대형견 입장가능 / 동물보호법에 따라 목줄·가슴줄 길이 2미터 이내로 유지 리드줄 / 배변봉투 필수",,126.3577307,33.36627759,무료,"공용주차장,화장실,유도 및 안내시설",실외,,,,,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/20/44ef8fe0-fd1b-4638-a01c-df4ee5a005e9.jpg
CONT_000000000500343,섭지코지,제주 서귀포시 성산읍 고성리,"['서귀포가볼만한곳', '제주도서쪽코스', '제주도관광코스', '제주바다', '해안길', '성산', '선녀바위', '붉은오름']",5.0,135,3700,(+82) 064-782-2810,아름다운 해안이 일품인 섭지,"등산,기타",1.0,"연중무휴 / 소형견, 중형견, 대형견 입장 가능 / 동물보호법에 따라 목줄 또는 가슴줄 2미터 이내로 유지 / 배변봉투 필수 / 대형견은 입마개 필수",상,126.9306092,33.42393807,"무료,입장료 무료 / 주차비: 유료 (장애인 :500원)","공용주차장,현금결제,카드결제,화장실,편의점,음료대",실외,00:00:00,00:00:00,00:00:00,00:00:00,자연관광지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/16/f18ca648-b42f-4209-b87a-2410b8da656d.jpg
