,VISIT_AREA_NM,output,tourist_id,weighted_similarity,tourist_x,tourist_address_x,theme2,star,Like,scrap,telephone_x,소개,주요목적,평균 소요 시간,상세 정보,경사도(난이도),X_COORD,Y_COORD,요금 정보,편의시설,장소 특성,평일_시작,평일_끝,주말_시작,주말_끝,category,category_match,score
301,,,CNTS_000000000022065,1.0,백제사 템플스테이,제주시 애월읍 광령남6길 54 백제사,"['템플스테이', '실내', '휴식/힐링', '커플', '흐림', '사계절', '문화관광', '체험', '어트랙션']",,3.0,1.0,(+82) 064-746-8009,백제사에서의 템플 스테이 프로그램을 통하여 자신을 돌아볼 수 있는 시간이 된다.,,1.21875,연중무휴/프로그램별로 이용시간이 상이하므로 홈페이지 및 전화 문의 바랍니다.,,,,,,,,,,,역사유적지,2.0,1.0
302,,,CONT_000000000500535,0.9997430565949681,제주4.3평화공원,제주특별자치도 제주시 명림로 430,"['테마공원', '부모', '커플', '혼자', '친구', '아이', '맑음', '흐림', '미술/박물관', '실내', '실내관광지', '어트랙션', '봄꽃', '벚꽃', '무장애관광']",5.0,57.0,352.0,(+82) 064-723-4344,반드시 기억해야 할 우리 제주의 역사가 담긴 제주 4.3 평화공원,,1.21875,"매월 첫째, 셋째 월요일 휴관 / 입장 마감 17:00 / 야외공원 24시 개방",,126.6179268,33.45126835,무료,"공용주차장,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터",실내+실외,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9997430565949681
303,,,CNTS_000000000019305,0.9981164722841314,정의향교,제주특별자치도 서귀포시 표선면 성읍서문로 14,"['문화유적지', '청년', '중/장년', '노년', '휴식/치유', '휴식/힐링', '경관/포토', '친구', '아이', '부모', '역사유적', '포토스팟', '어린이', '어트랙션']",,0.0,3.0,(+82) 064-787-1324,제주특별자치도 서귀포시 표선면 성읍리에 있는 조선시대의 향교,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9981164722841314
304,,,CNTS_000000000022066,0.9974583593353663,금룡사 템플스테이,제주특별자치도 제주시 구좌읍 김녕로 148-11,"['템플스테이', '실내', '휴식/힐링', '커플', '흐림', '사계절', '문화관광', '체험', '어트랙션']",,1.0,9.0,(+82) 064-783-3663,"금룡사는 제주의 동쪽 김녕리에 자리한 금룡사는 너럭바위와 소나무 등이 어우러져 청룡, 황룡의 조화를 이루는 천연도량이다.",,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9974583593353663
305,,,CNTS_000000000019089,0.9971179144474647,오름터 민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 99,"['오름', '문화유적지', '아이', '흐림', '문화관광', '역사유적', '도보여행', '도보', '마을산책', '마을관광', '어린이']",,1.0,29.0,(+82) --,성읍민속마을 내에 위치한 제주도 전통 생활 모습을 볼 수 있는 곳,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9971179144474647
306,,,CNTS_200000000008075,0.9971109703288292,칠머리길,제주특별자치도 제주시 칠머리길 1,"['휴식/힐링', '걷기/등산', '자연경관', '체험', '도보여행', '도보', '어트랙션']",,0.0,0.0,(+82),칠머리당 터를 만나 볼 수 있는 제주의 옛 골목길,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9971109703288292
307,,,CONT_000000000500376,0.9965028966759901,송당본향당,제주특별자치도 제주시 구좌읍 송당리,"['부모', '커플', '혼자', '친구', '아이', '문화유적지', '자연경관', '문화관광', '역사유적', '어린이', '2023_관광10선_봄', 'Moment_봄']",5.0,2.0,9.0,(+82) 064-783-4093,제주 민간신앙의 자취를 확인할 수 있는 송당본향당,,1.21875,"방문시 송당리사무소 연락 필요. (064-783-4093)/쓰레기 무단 투기 등 훼손이 심해 관리와 보존을 목적으로 출입통제/매년 1년에 4번 (음력 1,2,7,10월 13일) 제를 지내는 행사 때만 일반인 방문 허용, 그 외에 입장 불가",,,,,"공용주차장,유도 및 안내시설",,,,,,역사유적지,2.0,0.9965028966759901
308,,,CONT_000000000500239,0.9964085984368793,법화사지,제주특별자치도 서귀포시 하원북로35번길 15-28,"['부모', '커플', '혼자', '아이', '경관/포토', '휴식/힐링', '문화유적지', '중/장년', '휴식/치유', '노년', '역사유적', '포토스팟', '어린이']",5.0,2.0,21.0,(+82) 064-760-2505,서귀포시 하원동에 있는 신라시대의 절터,,1.21875,,,,,,"공용주차장,유도 및 안내시설",,,,,,역사유적지,2.0,0.9964085984368793
309,,,CNTS_000000000022068,0.9962645846959259,백제사,제주시 애월읍 광령남6길 54 백제사,"['실내', '문화유적지', '흐림', '맑음', '사계절', '문화관광', '역사유적', '어트랙션']",,1.0,1.0,(+82) 064-746-8009,자연친화적인 한국의 사찰문화를 체험할 수 있는 도량이다.,,1.21875,연중무휴,,,,,,,,,,,역사유적지,2.0,0.9962645846959259
310,,,CNTS_000000000019754,0.9957917057006227,약천사 템플스테이,제주특별자치도 서귀포시 이어도로 293-28 (대포동),"['템플스테이', '휴식/힐링', '커플', '흐림', '사계절', '실내관광지', '체험', '어트랙션']",5.0,3.0,28.0,(+82) 064-738-5000,"""아름다운 삶의 소리, 참된 나를 찾아 가는 길""",,1.21875,프로그램별로 이용시간이 상이하므로 홈페이지 및 전화 문의 바랍니다.,,,,,"공용주차장,현금결제,화장실",,,,,,역사유적지,2.0,0.9957917057006227
311,,,CONT_000000000500262,0.9952494148419542,불탑사,제주특별자치도 제주시 원당로16길 41,"['문화유적지', '사계절', '부모', '아이', '혼자', '친구', '커플', '문화관광', '역사유적', '어트랙션']",,2.0,8.0,(+82) 064-728-2731,보물 제1187호로 지정되어 보호받고 있는 제주도내 유일 고려시대 석탑,,1.21875,연중무휴,,,,,"공용주차장,화장실,음료대,유도 및 안내시설",,,,,,역사유적지,2.0,0.9952494148419542
312,,,CNTS_000000000018384,0.9951825716105238,방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113,"['부모', '커플', '친구', '아이', '맑음', '사계절', '문화관광', '어린이', '어트랙션', '무장애관광']",5.0,17.0,634.0,(+82) 064-794-0611,건축가 이타미 준이 설계한 노아의 방주를 본 따 만든 성전 건축물,포토스팟,1.21875,"외부: 상시개방 / 내부(평일, 공휴일): 하절기(6~9월)-6:00~18:00, 동절기(10~5월)-6:00~17:00 / 금요일은 22시까지 개방 / 토요일 6:00~13:00",,126.3874393,33.30504898,무료,"공용주차장,유도 및 안내시설,경보 및 피난시설",실내+실외,,,,,역사유적지,2.0,0.9951825716105238
313,,,CNTS_000000000018467,0.9950208581089399,추사적거지,제주특별자치도 서귀포시 대정읍 추사로 44,"['친구', '아이', '문화유적지', '문화관광', '역사유적', '어린이', '어트랙션', '무장애관광']",5.0,1.0,43.0,(+82) 064-760-3406,추사 김정희의 예술혼이 남아 있는 곳,,1.21875,연중무휴(17시 30분까지 입장),,,,무료,"공용주차장,엘리베이터",,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9950208581089399
314,,,CNTS_200000000007377,0.9943594808441618,효명사,제주특별자치도 서귀포시 남원읍 516로 815-41,"['경관/포토', '휴식/힐링', '절', '사찰', '포토스팟', '어트랙션']",,2.0,14.0,(+82) 064-733-4950,한라산 중턱에 위치한 소박한 사찰,,1.21875,,,126.5941584,33.32329739,,,,,,,,역사유적지,2.0,0.9943594808441618
